filename,category,category_name,sub_category,description,affected_os
Address_already_in_use.1.py,PROC,Process and Signals,Address already in use,Port binding conflicts vary across OS,Windows/Linux
Address_already_in_use.2.py,PROC,Process and Signals,Address already in use,Port binding conflicts vary across OS,Windows/Linux
Command_execution_mismatch.1.py,PROC,Process and Signals,Shell command execution,Shell behavior differs across OS,Windows/Linux/macOS
Command_execution_mismatch.2.py,PROC,Process and Signals,Shell command execution,Shell behavior differs across OS,Windows/Linux/macOS
Curses_maybe_not_avaliable_Win.1.py,ENV,Environment and Display,Missing curses,Curses module unavailable on Windows,Windows
Dynamic_library_loading_mismatch.1.py,LIB,Library Dependencies,Dynamic library loading,DLL vs SO vs DYLIB file issues,Windows/Linux/macOS
Encoding_mismatch.1.py,FILE,File and Directories,Encoding,UTF-8 not default everywhere,Windows
Encoding_mismatch.2.py,FILE,File and Directories,Encoding,UTF-8 not default everywhere,Windows
File_descriptor_limits.1.py,PERM,Permissions and Limits,File descriptor limits,Resource limits vary across systems,Linux/macOS
geteuid().1.py,API,API Availability,Methods: os.geteuid(),OS methods missing on Windows,Windows
getuid().1.py,API,API Availability,Methods: os.getuid(),OS methods missing on Windows,Windows
GUI_window-manager_differences.1.py,ENV,Environment and Display,GUI differences,Window manager behavior varies,Windows/Linux/macOS
GUI_window-manager_differences.2.py,ENV,Environment and Display,GUI differences,Window manager behavior varies,Windows/Linux/macOS
lib_fcntl_dont_works_in_windows.py,LIB,Library Dependencies,Platform-specific libraries (e.g. fcntl),Unix-only libraries missing elsewhere,Windows
Line_ending_mismatch.1.py,FILE,File and Directories,Line endings,CRLF vs LF mismatch,Windows/Linux
Line_ending_mismatch.2.py,FILE,File and Directories,Line endings,CRLF vs LF mismatch,Windows/Linux
missing_a_lib.1.py,LIB,Library Dependencies,Missing libraries,Dependencies not universally available,Windows/Linux/macOS
missing_a_lib.2.py,LIB,Library Dependencies,Missing libraries,Dependencies not universally available,Windows/Linux/macOS
no_display_avaliable_in_github_ci_for_linux.1.py,ENV,Environment and Display,No display in github CI (linux),Headless CI lacks display server,Linux
Opened_file_locking.1.py,FILE,File and Directories,File locking,Windows locks open files,Windows
Opened_file_locking.2.py,FILE,File and Directories,File locking,Windows locks open files,Windows
OS-specific_pathing.1.py,FILE,File and Directories,Path separators,Forward vs backslash differences,Windows/Linux
permission_mismatch.1.py,PERM,Permissions and Limits,Permission,Permission models differ by OS,Windows/Linux
permission_mismatch.2.py,PERM,Permissions and Limits,Permission,Permission models differ by OS,Windows/Linux
readline.1.py,API,API Availability,Modules: readline,Optional module not everywhere,Windows
resource.1.py,API,API Availability,Modules: resource,Optional module not everywhere,Windows
Signal_handling.1.py,PROC,Process and Signals,Missing signals,Signals unavailable on Windows,Windows
uname().1.py,API,API Availability,Methods: os.uname(),OS methods missing on Windows,Windows
uname().2.py,API,API Availability,Methods: os.uname(),OS methods missing on Windows,Windows
version.py,SYS,System Information,Timezone database,Timezone data not always installed,Windows

